intervencionId|codigoSitio|NombreProyecto|ICD|DESCRIPCION|estadoSigo|Vendor|EstadoIM|subEstado|FechaEstadoIM|fechaRFISIM|fechaRFASIM|fechaRFTSIM|fechaOASIM|TT|status|schedstart|schedfinish|actstart|actfinish|check_icd
24185|A16-S076|4T4R||/REGULARIZACION ADRN SITIOS 4T4R |OA|Nokia|OA|OA Completado|2021-07-16 10:52:59|2021-06-30 18:24:10|2021-07-02 11:14:36|2021-07-02 11:15:01|2021-07-16 10:52:59|5056564|CLOSE|2021-07-01 13:00:00|2021-07-02 18:00:00|2021-07-01 13:35:00|2021-07-09 01:37:00|False
24186|A04-S105|4T4R|5278325|/A04-S105	Rosario Junin	4T4R |OA|Nokia|OA|OA Completado|2021-08-02 16:56:44|2021-07-28 20:45:28|2021-07-28 20:46:42|2021-08-02 16:55:59|2021-08-02 16:56:44|5278325|CLOSE|2021-07-19 11:00:00|2021-07-19 18:00:00|2021-07-19 11:07:00|2021-08-14 11:31:00|True
24186|A04-S105|4T4R|5278325|/Proy Borrado de TRX  / W30 |OA|Nokia|OA|OA Completado|2021-08-02 16:56:44|2021-07-28 20:45:28|2021-07-28 20:46:42|2021-08-02 16:55:59|2021-08-02 16:56:44|5330303|CLOSE|2021-07-26 09:00:00|2021-07-30 18:00:00|2021-07-26 16:08:00|2021-07-26 18:06:00|False
24224|A03-S091|4T4R|4978325|/4T4R Modernization Icho Cruz A03-S091 |OA|Huawei|OA|OA Completado|2021-07-16 13:20:52|2021-07-12 17:40:59|2021-07-12 17:43:21|2021-07-15 20:19:20|2021-07-16 13:20:52|4978325|CLOSE|2021-06-28 08:00:00|2021-07-16 18:00:00|2021-06-28 08:35:00|2021-07-15 20:36:00|True
26487|A04-S541|4T4R||/Resintonia 850 Rosario / Cambios ajustes GSM post Implementacion |OA|Huawei|OA|OA Completado|2021-07-27 14:32:22|2021-07-12 10:19:39|2021-07-12 10:23:16|2021-07-12 10:24:04|2021-07-27 14:32:22|5045794|CLOSE|2021-06-30 22:00:00|2021-07-01 06:00:00|2021-06-30 22:35:00|2021-09-09 08:13:00|False
26702|A16-S021|4T4R|5362296|/A16-S021 Las Breñas 4T4R |OA|Nokia|OA|OA Completado|2021-08-09 12:47:14|2021-08-04 14:21:14|2021-08-04 14:22:11|2021-08-09 12:46:25|2021-08-09 12:47:14|5362296|CLOSE|2021-07-26 08:15:00|2021-07-26 20:00:00|2021-07-26 08:36:00|2021-09-17 11:15:00|True
26714|A14-S013|4T4R|5452688|/A14-S013	La Cruz Rep.	4T4R |OA|Nokia|OA|OA Completado|2021-08-11 09:19:58|2021-08-11 09:17:26|2021-08-11 09:18:30|2021-08-11 09:19:09|2021-08-11 09:19:58|5452688|CLOSE|2021-08-02 08:17:00|2021-08-06 18:00:00|2021-08-02 08:38:00|2021-08-14 11:32:00|True
26879|A17-S030|4T4R|5529672|/A17-S030	Mburucuya	4T4R |OA|Nokia|OA|OA Completado|2021-09-02 10:29:59|2021-08-14 11:10:48|2021-08-14 11:12:02|2021-09-02 10:28:26|2021-09-02 10:29:59|5529672|CLOSE|2021-08-09 08:13:00|2021-08-14 18:00:00|2021-08-09 08:37:00|2021-09-17 11:15:00|True
26964|A17-S018|4T4R|5743321|/A17-S018	Saladas	4T4R |OA|Nokia|OA|OA Completado|2021-09-08 14:14:11|2021-08-18 09:09:44|2021-08-18 09:11:07|2021-09-08 14:12:55|2021-09-08 14:14:11|5530140|CLOSE|2021-08-09 08:47:00|2021-08-13 18:00:00|2021-08-09 09:08:00|2021-09-08 13:07:00|False
26964|A17-S018|4T4R|5743321|/A17-S018	Saladas	4T4R |OA|Nokia|OA|OA Completado|2021-09-08 14:14:11|2021-08-18 09:09:44|2021-08-18 09:11:07|2021-09-08 14:12:55|2021-09-08 14:14:11|5743321|CLOSE|2021-08-30 08:00:00|2021-08-30 20:00:00|2021-08-30 08:27:00|2021-09-08 14:25:00|True
26985|A04-S072|4T4R|5643547|/A04-S072	Rosario Aeropuerto	4T4R |OA|Huawei|OA|OA Completado|2021-09-08 08:10:06|2021-08-27 15:23:49|2021-08-27 15:24:47|2021-08-27 15:25:33|2021-09-08 08:10:06|5621837|CLOSE|2021-08-17 09:59:00|2021-08-20 18:00:00|2021-08-17 10:32:00|2021-09-08 08:22:00|False
26985|A04-S072|4T4R|5643547|/A04-S072	Rosario Aeropuerto	4T4R |OA|Huawei|OA|OA Completado|2021-09-08 08:10:06|2021-08-27 15:23:49|2021-08-27 15:24:47|2021-08-27 15:25:33|2021-09-08 08:10:06|5643547|CLOSE|2021-08-19 08:24:00|2021-08-26 18:00:00|2021-08-19 09:02:00|2021-09-08 08:25:00|True
27769|A13-S004|4T4R|5622498|/Proy NB_IoT W32 |OA|Nokia|OA|OA Completado|2021-08-23 14:58:06|2021-08-23 08:38:03|2021-08-23 08:38:55|2021-08-23 08:39:28|2021-08-23 14:58:06|5533931|CLOSE|2021-08-16 09:00:00|2021-08-20 20:00:00|2021-08-18 17:02:00|2021-08-18 17:31:00|False
27777|A17-S035|4T4R|5622634|/A17-S035	Corrientes San Martin	4T4R |OA|Nokia|OA|OA Completado|2021-08-26 08:48:07|2021-08-26 08:44:48|2021-08-26 08:46:48|2021-08-26 08:47:24|2021-08-26 08:48:07|5622634|CLOSE|2021-08-17 10:45:00|2021-08-21 18:00:00|2021-08-17 11:02:00|2021-08-25 15:33:00|True
27778|A04-S340|4T4R|5530417|/A04-S340	Rosario City Center	4T4R |OA|Nokia|OA|OA Completado|2021-09-02 10:31:22|2021-08-26 08:49:52|2021-08-26 08:50:47|2021-08-26 08:51:21|2021-09-02 10:31:22|5622397|CLOSE|2021-08-17 10:30:00|2021-08-21 18:00:00|2021-08-17 11:02:00|2021-09-08 09:16:00|False
27789|A10-S024|4T4R|6345782|/A10-S024 Los Altos - Moderniz 4T4R puro PO2021 CCEtapa1 |OA|Huawei|OA|OA Completado|2021-10-21 16:18:28|2021-10-14 15:26:33|2021-10-14 15:28:26|2021-10-14 15:30:04|2021-10-21 16:18:28|6345782|CLOSE|2021-10-11 08:00:00|2021-10-24 20:00:00|2021-10-11 08:27:00|2021-10-15 18:40:00|True
27790|A10-S108|4T4R||/A10-S108 Saujil - Moderniz 4T4R puro PO2021 CCEtapa1 |OA|Huawei|OA|OA Completado|2021-10-28 14:26:08|2021-10-22 21:42:55|2021-10-22 21:44:14|2021-10-26 22:16:42|2021-10-28 14:26:08|6451949|CLOSE|2021-10-17 10:45:00|2021-10-31 20:00:00|2021-10-17 10:55:00|2021-10-29 21:44:00|False
27791|A11-S002|4T4R|6395733|/A11-S002 Clodomira - Moderniz 4T4R puro PO2021 CCEtapa 1 + Desmonte 2600 |OA|Huawei|OA|OA Completado|2021-10-28 10:16:08|2021-10-22 17:52:22|2021-10-26 14:50:24|2021-10-26 14:51:04|2021-10-28 10:16:08|6395733|CLOSE|2021-10-13 14:30:00|2021-10-31 20:00:00|2021-10-13 14:58:00|2021-10-22 18:31:00|True
27792|A11-S010|4T4R|6560989|/A11-S010 Pozo Hondo |OA|Huawei|OA|OA Completado|2021-11-12 10:41:54|2021-11-01 10:14:33|2021-11-01 10:22:45|2021-11-10 20:52:28|2021-11-12 10:41:54|6560989|CLOSE|2021-10-25 12:00:00|2021-11-07 20:00:00|2021-10-25 12:04:00|2021-10-29 21:41:00|True
27794|A11-S042|4T4R|6514650|/Intervencion A11-S042 Estacion Araoz 4T4R |OA|Huawei|OA|OA Completado|2021-11-04 21:51:05|2021-10-28 10:16:18|2021-10-28 10:18:00|2021-10-29 08:38:19|2021-11-04 21:51:05|6514650|CLOSE|2021-10-22 08:00:00|2021-10-29 18:00:00|2021-10-22 08:28:00|2021-10-29 21:41:00|True
27795|A11-S044|4T4R|6514697|/Intervencion A11-S044 El Cortaderal 4T4R |OA|Huawei|OA|OA Completado|2021-11-10 11:36:09|2021-10-29 15:46:32|2021-11-10 11:34:58|2021-11-10 11:35:31|2021-11-10 11:36:09|6514697|CLOSE|2021-10-22 08:00:00|2021-10-29 18:00:00|2021-10-22 08:28:00|2021-10-29 21:23:00|True
27798|A11-S050|4T4R||/A11-S050 Arraga |OA|Huawei|OA|OA Completado|2021-11-12 10:37:11|2021-11-02 17:19:11|2021-11-02 18:24:10|2021-11-04 17:11:11|2021-11-12 10:37:11|6616160|CLOSE|2021-10-28 10:00:00|2021-11-12 20:00:00|2021-10-28 10:59:00|2021-11-02 11:18:00|False
27804|A11-S119|4T4R|6529655|/Intervencion A11-S119 Tuc V. Marinoa Moreno modernizacion 4t4r |OA|Huawei|OA|OA Completado|2021-10-28 09:53:34|2021-10-25 18:17:40|2021-10-25 18:18:31|2021-10-27 16:28:53|2021-10-28 09:53:34|6529655|CLOSE|2021-10-23 08:00:00|2021-10-29 18:00:00|2021-10-23 08:28:00|2021-10-25 19:07:00|True
27808|A11-S234|4T4R|6499254|/A11-S234 Santiago Los Quiroga |OA|Huawei|OA|OA Completado|2021-10-28 15:24:40|2021-10-25 22:14:59|2021-10-26 21:05:06|2021-10-28 10:33:17|2021-10-28 15:24:40|6499254|CLOSE|2021-10-21 08:00:00|2021-11-05 20:00:00|2021-10-21 08:28:00|2021-10-29 21:44:00|True
27816|A12-S001|4T4R|6570626|/Intervencion A12-S001 Taco Pozo 4T4R puro PO2021 CCEtapa1 |OA|Huawei|OA|OA Completado|2021-11-10 21:00:48|2021-10-26 21:08:16|2021-11-01 10:10:29|2021-11-01 10:11:20|2021-11-10 21:00:48|6570626|CLOSE|2021-10-26 08:00:00|2021-11-05 18:00:00|2021-10-26 08:28:00|2021-10-29 21:44:00|True
